category,question,keywords,answer
Betterment & PPO,What happens if a student gets a PPO and a placement offer in different categories?,"PPO, placement, betterment switch","The student can choose between the PPO and the placement offer, but it will be counted as a betterment switch."
Betterment & PPO,Can students apply for betterment after securing a PPO?,"betterment, PPO, placement restriction","No, students cannot apply for betterment after securing a PPO."
Off-Campus Policy,Can students apply for off-campus placements after securing an on-campus offer?,"off-campus, on-campus, policy, apply","No, students cannot apply for off-campus placements after securing an on-campus offer."
TPO Authority,What is the role of the professor-in-charge in the TPO?,"professor-in-charge, TPO, placement decisions","The professor-in-charge oversees the TPO operations, resolves discrepancies, and makes final decisions regarding placement policies."
TPO Authority,Can students appeal against the TPO’s decisions?,"TPO decision, appeal, placement committee, director",Students can appeal against the TPO’s decisions by approaching the placement committee or the director.
TPO Appeals,Can students appeal against the TPO’s decisions?,"TPO decisions, appeal process, placement committee",Students can appeal against the TPO’s decisions by approaching the placement committee or the director.
Internship & Placement Policy,What is the policy for students who secure both internships and placements?,"internship, placement, exemption",Students who secure both internships and placements are exempted from the placement process.
Placement Switch,Can students switch from off-campus to on-campus placements?,"off-campus to on-campus, placement switch, TPO CR","Yes, students can switch from off-campus to on-campus placements if they inform the TPO CR to update their preferences."
Placement Policy,Can students apply for betterment after securing an off-campus offer?,"betterment, off-campus offer, restrictions","No, students cannot apply for betterment after securing an off-campus offer."
Placement Policy,Can students apply for betterment after securing a placement in a Normal category company?,"betterment, Normal category company, placement","Yes, students can apply for betterment after securing a placement in a Normal category company, but only once."
